name,Control,Treatment,FDR,AveExpr,P value,CRTL1,CRTL2,T2,T1,CRTL1 CPM,CRTL2 CPM,T2 CPM,T1 CPM
puuC,0,1.20633740628527,0.000677386256498316,6.58497553010834,0.0000247299744435893,343,597,920,928,76.846,60.408,143.834,126.782
glgS,0,-1.67724772902028,0.000684833790744089,6.17212583180503,0.000025157159659987,766,1115,234,278,171.614,112.823,36.584,37.980
glsA,0,-1.39719114407452,0.000691119367832135,7.38710223169831,0.0000255447748200993,1561,2397,636,680,349.725,242.545,99.433,92.900
dctR,0,-1.86892894774896,0.000707802801397754,4.74152588099517,0.0000264824177393718,295,457,91,85,66.092,46.242,14.227,11.613
argR,0,-1.00392475411653,0.000721604390109067,6.4078166873193,0.0000273260619383705,571,1278,360,407,127.926,129.317,56.283,55.604
yciF,0,-1.20806871739872,0.000735877132770233,5.41598090166463,0.0000282456692706261,314,679,155,206,70.348,68.706,24.233,28.143
ruvA,0,1.03423368461814,0.000735877132770233,6.24148539355622,0.0000283671457076961,244,574,660,729,54.666,58.081,103.185,99.595
pdeL,0,-1.66173239709894,0.000743021618517242,4.13875548173005,0.0000288110423506686,148,335,51,77,33.158,33.898,7.973,10.520
astD,0,1.7486063906568,0.000746871441868902,3.65570971577552,0.0000295946354509452,38,64,138,151,8.513,6.476,21.575,20.629
yeeE,0,-1.1915011215522,0.000746871441868902,6.50971196775946,0.0000303955861649894,629,1523,324,457,140.921,154.107,50.655,62.435
lhgD,0,1.07418822429176,0.000746871441868902,5.95617000362226,0.0000306539072513087,221,422,541,605,49.513,42.701,84.581,82.654
rlmJ,0,1.18504908090566,0.000746871441868902,6.84970604372952,0.000030515700360818,427,705,1003,1207,95.665,71.337,156.810,164.898
metF,0,-1.47520544962102,0.000746871441868902,6.381670706334,0.0000304699512574431,601,1621,257,397,134.648,164.024,40.180,54.237
lamB,0,1.44632836667853,0.000746871441868902,5.27755778619806,0.0000305443304543724,127,224,338,482,28.453,22.666,52.843,65.850
caiF,0,-1.88340803612209,0.000781253295094872,3.70495816462459,0.0000322421994801058,137,236,39,46,30.693,23.880,6.097,6.284
fliP,0,1.60588158604086,0.000785122940700661,3.75770611496134,0.0000325799315528846,40,76,143,155,8.962,7.690,22.357,21.176
pdeG,0,-2.09204929911346,0.00078687188947139,4.65818499181462,0.000033010835619376,316,447,78,75,70.796,45.230,12.195,10.246
deaD,0,1.0049879151402,0.00078687188947139,10.757829455763,0.0000329177018193547,5635,13443,15585,15722,1262.462,1360.254,2436.579,2147.912
thiS,0,1.44978381493392,0.00078687188947139,4.83312560390533,0.0000331877939777049,82,182,250,361,18.371,18.416,39.085,49.319
dhaR,0,-1.19869737855407,0.000791071976461464,5.04983435239441,0.0000336178351954344,239,530,134,145,53.545,53.629,20.950,19.810
arnB,0,-1.0645635406909,0.000791071976461464,6.001422604202,0.0000337237033049331,473,922,269,295,105.971,93.294,42.056,40.302
cusF,0,1.2696283709606,0.000792194214844437,10.0281394050384,0.000033990223737941,2850,8059,10488,10188,638.512,815.464,1639.708,1391.867
glnL,0,1.02937306059663,0.000792194214844437,6.57115041885827,0.0000341308165125721,351,645,794,936,78.638,65.265,124.135,127.875
bfd,0,-1.05580334252114,0.00083939752578737,6.1860104536637,0.0000365474912660754,535,1045,316,327,119.861,105.740,49.404,44.674
ybaT,0,-1.37171025650244,0.000846998648951899,6.51442198113007,0.0000374523212121588,839,1315,353,369,187.969,133.061,55.188,50.412
thrL,0,-1.18318983782602,0.000854197493247762,5.09413309256984,0.0000400949843769358,262,514,136,152,58.698,52.010,21.262,20.766
mppA,0,-1.08574284025453,0.000854197493247762,5.94303991093131,0.0000400773345050304,423,959,234,310,94.769,97.038,36.584,42.352
flhA,0,1.23512210499993,0.000854197493247762,4.97851498839752,0.0000400580916610977,91,229,298,325,20.388,23.172,46.590,44.401
yfjH,0,-1.49286434955475,0.000854197493247762,4.87869186011415,0.0000394807466649673,274,457,109,112,61.387,46.242,17.041,15.301
glcG,0,1.45117177777482,0.000854197493247762,4.8663231583397,0.0000398929476406017,92,172,322,290,20.612,17.404,50.342,39.619
feoB,0,-1.35901763444018,0.000854197493247762,7.7211347350362,0.0000393464890619829,1718,3356,949,747,384.900,339.583,148.368,102.054
thiE,0,1.13916345739909,0.000854197493247762,8.0056975377243,0.0000397533856438805,969,1576,2240,2631,217.094,159.470,350.205,359.443
yhiD,0,-1.35968445909775,0.000872321899084555,5.50064322025246,0.0000411435272130584,395,681,184,174,88.496,68.908,28.767,23.772
metN,0,-1.70733438512388,0.000890925032854968,5.20804044366224,0.0000422229777475484,285,783,100,171,63.851,79.229,15.634,23.362
ycgJ,0,-1.48113653803241,0.000902813536040022,5.1617556652549,0.0000437046100446823,340,543,129,141,76.173,54.944,20.168,19.263
mgtT,0,-2.81185626964327,0.000902813536040022,3.43256515256475,0.0000444916794911865,167,251,32,20,37.415,25.398,5.003,2.732
blr,0,-2.22332427115503,0.000902813536040022,4.0145943340985,0.0000448335973679739,213,300,43,50,47.720,30.356,6.723,6.831
yfhL,0,-1.60834347169103,0.000902813536040022,3.99669289701098,0.0000438090488025821,150,266,53,62,33.606,26.916,8.286,8.470
agaR,0,-1.08031300223245,0.000902813536040022,6.74924027257676,0.0000448335384417555,705,1745,481,466,157.948,176.571,75.200,63.664
yjbE,0,-1.94144925024153,0.000902813536040022,3.97262432603567,0.0000447145263135497,177,279,42,59,39.655,28.231,6.566,8.060
thiG,0,1.17876547156187,0.000936103772232376,8.43863591407565,0.0000471791388346017,1310,2062,3047,3633,293.492,208.647,476.372,496.334
yciE,0,-1.35723859730221,0.000942257692845262,5.58310773882266,0.0000480878877734455,420,722,158,226,94.097,73.057,24.702,30.876
iap,0,-1.1818921159705,0.000942257692845262,5.04854292664549,0.0000482880359598706,229,544,127,155,51.305,55.046,19.855,21.176
ymfK,0,-1.03147536653853,0.000945613714925627,5.60714530709151,0.000048674447457623,330,741,205,231,73.933,74.979,32.050,31.559
ytiC,0,-3.33360653662902,0.00100797084337288,2.04505483571213,0.0000532556023822861,70,124,10,6,15.683,12.547,1.563,0.820
ydeJ,0,-1.29412829039055,0.00104445470655046,4.31748329592194,0.0000556568834556369,153,322,74,88,34.278,32.582,11.569,12.022
mepS,0,-1.06884050978841,0.00105426516824724,8.59759447987321,0.0000566577879534229,3112,5109,1612,1813,697.211,516.963,252.022,247.689
hdeD,0,-1.15087745616708,0.00108601399085954,6.86545831450749,0.0000586102788717848,957,1608,434,570,214.406,162.708,67.852,77.872
fliJ,0,1.81208600282287,0.00109067149661554,3.05220906913029,0.0000592197894970663,19,49,92,109,4.257,4.958,14.383,14.891
uspG,0,-1.46152977574358,0.00109436075055379,4.9289522865313,0.0000598052020143908,287,461,103,129,64.299,46.647,16.103,17.624
ugpC,0,1.07326261241855,0.00110965648955206,5.54874354755708,0.0000611443371793994,169,315,387,478,37.863,31.874,60.504,65.304
yciG,0,-1.52516856399804,0.00111083616377626,5.91353178084078,0.0000614612299232218,605,889,227,222,135.544,89.955,35.489,30.329
wzc,0,-1.54997886875527,0.00112892040930877,3.56920126337421,0.0000632297825621921,96,215,41,47,21.508,21.755,6.410,6.421
puuE,0,1.04615125075536,0.00117353496618884,5.60656166768541,0.0000673252486271603,152,376,435,465,34.054,38.046,68.008,63.527
fliL,0,1.33983378708324,0.0011763257428204,4.21533273062995,0.0000685523165317106,53,127,166,216,11.874,12.851,25.953,29.510
argA,0,-1.39541847837204,0.0011763257428204,6.53369531278349,0.0000684951794189296,672,1701,278,477,150.554,172.119,43.463,65.167
puuA,0,1.05997778156625,0.00118278467905485,8.42472874292639,0.0000694651319444913,1009,2832,3077,3272,226.056,286.561,481.062,447.015
lpp,0,-1.03259835893752,0.001185564930707,14.1860021599511,0.0000698972521505262,132833,271050,86520,80009,29759.823,27426.671,13526.650,10930.690
csgG,0,-1.02667088102206,0.00119358904575957,5.50325547624196,0.0000709253133277747,298,705,193,214,66.764,71.337,30.174,29.236
puuB,0,1.09002701292281,0.00119358904575957,5.83341976179863,0.0000715234256478644,195,396,548,513,43.688,40.070,85.675,70.085
rmf,0,-1.70381896794447,0.00119843995346513,9.03116828554775,0.0000725586094274805,6153,7288,1707,2020,1378.514,737.449,266.875,275.969
matP,0,-1.16164418359316,0.00125966648753399,4.79244953198309,0.0000774080766715899,201,430,119,117,45.032,43.510,18.605,15.984
yobF,0,-1.00251189777349,0.00130000939637972,9.85446268307642,0.0000813611322904316,7154,12122,4113,4251,1602.778,1226.586,643.032,580.764
hisC,0,1.06677219154615,0.00130000939637972,7.18398277479125,0.0000811800348396954,567,914,1211,1468,127.030,92.485,189.329,200.556
ves,0,1.41938309523724,0.00132880203058584,3.89186814849999,0.0000837657515879509,50,85,139,166,11.202,8.601,21.731,22.679
fliM,0,1.09533471770415,0.00135111042156459,5.19074429502229,0.0000860911629160201,120,262,294,394,26.885,26.511,45.964,53.828
yedF,0,-3.28501915103624,0.00135873347376512,1.29004412087764,0.0000875012032991593,38,77,4,5,8.513,7.791,0.625,0.683
ybdL,0,-1.53497436993408,0.00137769478361426,3.50574196998747,0.0000893470993455055,88,211,39,46,19.715,21.350,6.097,6.284
hisH,0,1.03190648602643,0.0013791399417431,6.39902237895394,0.0000897535517642338,313,570,655,893,70.124,57.676,102.404,122.000
ybdR,0,-1.44787078825754,0.00141661357323369,6.34214240889306,0.0000928347670441123,811,1137,291,332,181.696,115.049,45.495,45.357
gmd,0,-1.59103474448201,0.00141989314637061,3.3763040181598,0.0000933716581513556,82,196,37,39,18.371,19.833,5.785,5.328
sufC,0,1.04270614824657,0.00142324969332966,6.88684143475533,0.0000942378481751157,466,751,1010,1143,104.402,75.991,157.905,156.155
yagK,0,-1.50854781012183,0.00146263541712203,3.66171196884121,0.0000978406911680268,106,216,50,45,23.748,21.856,7.817,6.148
ynaJ,0,-1.06160354278843,0.00150286330229159,7.65064326630897,0.000100872457478075,1638,2609,816,964,366.977,263.996,127.575,131.700
yfhH,0,-1.60100021347281,0.0015108265359115,3.38014421200367,0.000102020355184646,95,177,34,41,21.284,17.910,5.316,5.601
ynaI,0,-1.5526840417279,0.00155295710208706,4.09628783431396,0.000106490929431748,166,267,62,63,37.191,27.017,9.693,8.607
ymfJ,0,-1.57313142305252,0.00156763909755978,3.40435411649936,0.000108419484071595,89.5369,186.524,40.6028,37,20.060,18.874,6.348,5.055
yehE,0,-1.13608343800685,0.00158229881997148,5.21127129595408,0.00011015096093679,298,519,152,164,66.764,52.516,23.764,22.405
aphA,0,-1.4492111108754,0.00164634606322339,3.88420538658186,0.000115356220756469,118,252,62,52,26.437,25.499,9.693,7.104
yfdF,0,-2.0028601362132,0.00164783616666621,2.92822628964723,0.000115834288359756,84,142,24,23,18.819,14.369,3.752,3.142
ecnB,0,-1.69091444731638,0.00165441098721021,8.74118414120374,0.000117046763720994,5104,5822,1484,1569,1143.497,589.109,232.011,214.354
uraA,0,-1.17335149287931,0.00166532456728996,6.74132683723922,0.000118196505569559,766,1712,351,586,171.614,173.232,54.876,80.058
allE,0,-1.16750438535492,0.00171135660176483,4.4110808403416,0.000122239757268916,160,323,79,102,35.846,32.683,12.351,13.935
ycgL,0,-1.02921138389156,0.00176910597638545,4.99844255747601,0.000126765870416735,220,479,125,162,49.289,48.468,19.543,22.132
yfgG,0,-1.27986663950373,0.00176945554218009,6.32390804293172,0.000127192155753081,738,1084,306,346,165.341,109.686,47.840,47.270
hflD,0,1.13392506549803,0.00198991213281605,6.52589539601566,0.000145295171602441,363,553,749,987,81.326,55.956,117.100,134.842
ubiJ,0,1.14408810003715,0.00201864063258046,6.95246462755098,0.000147850549733217,329,1040,1086,1304,73.709,105.234,169.787,178.150
phoA,0,-1.02695016819559,0.00208348268933734,5.06958039000391,0.00015354464263824,251,468,135,164,56.234,47.355,21.106,22.405
yoeA,0,-1.41831875136466,0.00211905569276494,4.67455607883015,0.000157607770346236,244,372,86,111,54.666,37.641,13.445,15.165
yfiE,0,-1.05698188746406,0.00231164163402104,4.49364596505193,0.00017507671332495,155,342,96,103,34.726,34.606,15.009,14.072
atoS,0,-1.09913499328492,0.0023818208584841,4.29459381595519,0.000180931969975549,135,306,81,90,30.245,30.963,12.664,12.296
htrE,0,-1.85899395295457,0.00240400040008453,2.71009468251786,0.000185744954859313,58,134,17,27,12.994,13.559,2.658,3.689
fliN,0,1.50236907136845,0.00240400040008453,3.78615615734683,0.000185864346794855,33,97,125,182,7.393,9.815,19.543,24.865
gadW,0,-1.0387360518923,0.00240400040008453,7.94850785257394,0.000186276821583555,1987,3191,1132,1070,445.166,322.887,176.978,146.182
fliO,0,1.88958500804048,0.00243059598587262,2.39336903860108,0.000192277191075931,11,31,62,69,2.464,3.137,9.693,9.427
astA,0,1.44312298052944,0.00250497709143831,3.84545418856606,0.000202215837766902,49,80,157,140,10.978,8.095,24.546,19.127
ygdR,0,-1.09474120303259,0.00252231139224771,7.53832666365839,0.000204187112705767,1564,2391,826,797,350.398,241.938,129.138,108.885
yecF,0,-1.49967245016157,0.00257069743924417,3.15947508342104,0.000208687003004402,76,151,29,38,17.027,15.279,4.534,5.191
narK,0,-1.5587152309893,0.0027417195274071,3.40709594759696,0.000224435544080263,96,175,43,35,21.508,17.708,6.723,4.782
kch,0,-1.22899351520839,0.00274768714733945,5.48773601678113,0.000225547108239656,403,606,181,188,90.288,61.319,28.298,25.684
fliF,0,1.14695867521023,0.00275429586386517,5.48444879520527,0.000227494421574588,130,345,349,526,29.125,34.909,54.563,71.861
wza,0,-2.33060070307967,0.00275429586386517,2.19555404956165,0.000228478767703781,58,95,10,15,12.994,9.613,1.563,2.049
cysP,0,-1.0228069103037,0.00275429586386517,7.78301595234511,0.000228593584405642,1357,3679,808,1203,304.021,372.266,126.324,164.352
astC,0,1.43446263355117,0.00278360194750917,4.18498112446585,0.000234176036853946,68,95,192,179,15.235,9.613,30.018,24.455
ydgK,0,-1.17668497005937,0.00278661167690741,5.09051760802512,0.000235061121045251,287,470,147,139,64.299,47.558,22.982,18.990
yrbN,0,1.36970299592797,0.00283804923964118,5.30211298247161,0.000241867725373703,155,205,410,381,34.726,20.743,64.100,52.052
ydeP,0,-1.26331692893297,0.00291546733868491,3.54983037058798,0.000252932646964975,85,193,46,50,19.043,19.529,7.192,6.831
malE,0,1.02721615441899,0.00291546733868491,5.53585131262853,0.000254524926393127,146,361,352,512,32.710,36.528,55.032,69.949
yqiD,0,-1.50014934528944,0.00296754386800726,3.69624674971282,0.000260487960631872,125,197,48,48,28.005,19.934,7.504,6.558
bcsZ,0,1.08085654473229,0.00296754386800726,4.08116046313108,0.000260443096657559,56,121,141,174,12.546,12.244,22.044,23.772
ugpE,0,1.04486693265361,0.0030334714205689,4.50065011221639,0.00026895404205044,85,150,196,214,19.043,15.178,30.643,29.236
fliH,0,1.59050047907569,0.0030629684559496,4.25152331338773,0.000273652964091642,36,152,206,236,8.065,15.380,32.206,32.242
dgcZ,0,-1.49947517582561,0.00313569195535815,5.30709880933321,0.000283349129947927,413,558,157,139,92.528,56.462,24.546,18.990
astB,0,1.15817106455195,0.0031799373816477,3.85794353019364,0.000289871842952919,51,94,133,140,11.426,9.512,20.793,19.127
opgB,0,-1.02130445770586,0.00323552433725949,5.99349412067743,0.000295672632180402,448,936,223,362,100.370,94.711,34.864,49.456
yfiR,0,-1.00706833536092,0.0034180684901297,5.04774064675106,0.000317779610193464,257,440,137,158,57.578,44.522,21.419,21.586
tomB,0,-1.10456446841388,0.00342834745355184,8.14291370039243,0.000319512653834423,2233,3886,1396,1087,500.280,393.212,218.252,148.504
borD,0,-1.85799044609416,0.003517556665031,2.83742122122958,0.000329421973391792,75,129,17,31,16.803,13.053,2.658,4.235
ymfI,0,-1.38008319402223,0.00383208798201912,4.7381416318593,0.000368436576956033,250.463,381.476,116.397,93,56.114,38.600,18.198,12.705
yqhI,0,-1.04369593036906,0.00391307371489619,4.13761906657727,0.000378884915251853,130,250,73,82,29.125,25.297,11.413,11.203
idnR,0,-1.00739331386067,0.00396211826805848,4.42259414301379,0.000386328992123616,144,321,99,94,32.262,32.481,15.478,12.842
dgcJ,0,-1.08086067555142,0.00419411344100775,4.33394070256819,0.000413705067310288,129,329,91,87,28.901,33.290,14.227,11.886
gpt,0,-1.42228525831549,0.00421776057434282,4.87172060891226,0.000418763791476225,301,401,101,123,67.436,40.576,15.790,16.804
ydjF,0,-1.61525899034008,0.00437274325622108,3.47582555409356,0.000439608268960434,108,179,48,33,24.196,18.112,7.504,4.508
ynjE,0,-1.1323208836031,0.0048842311198994,4.31698443121917,0.000515296150212799,133,328,68,108,29.797,33.189,10.631,14.755
appY,0,-2.89475910301886,0.00525226533512734,3.33723801017411,0.00057048414864535,195,206,30,17,43.688,20.844,4.690,2.323
mntS,0,-1.00480567139404,0.0052772534145578,7.9623099092741,0.000574394929475679,2116,2987,1010,1250,474.067,302.245,157.905,170.773
paaH,0,1.79603487454457,0.00554673768091596,2.27563020067138,0.000613788659475508,15,23,45,68,3.361,2.327,7.035,9.290
metK,0,-1.00251206640203,0.00565930487014556,8.12276248523114,0.000630094941324596,1700,4644,979,1611,380.867,469.911,153.058,220.092
mliC,0,-1.21334329455114,0.00566803852551392,3.56155531629206,0.000634685963975874,97,172,41,57,21.732,17.404,6.410,7.787
yhgO,0,1.05642300812333,0.00580590992801686,4.45072286366205,0.000662216030338431,66,170,217,191,14.787,17.202,33.926,26.094
ftnB,0,-1.06502390987154,0.00586692322423731,4.37945697835767,0.000673166247497524,167,279,92,89,37.415,28.231,14.383,12.159
ynfU,0,-1.27118373451561,0.00589826313494586,5.61035223038277,0.000683449537858806,462,645,219,179,103.506,65.265,34.239,24.455
csgF,0,-1.11330994872541,0.0059920706717362,3.8072875996748,0.000703830523346792,90,233,52,71,20.164,23.577,8.130,9.700
yafN,0,1.17447690519133,0.00608522055700233,3.88248918403806,0.0007288189539062,38,120,126,166,8.513,12.142,19.699,22.679
yagH,0,1.13911380986734,0.00608522055700233,3.33659219402021,0.000733097267281096,35,67,83,107,7.841,6.780,12.976,14.618
acrZ,0,-1.50821686921806,0.00608522055700233,5.55714107542718,0.000738229704761054,539,616,164,185,120.757,62.331,25.640,25.274
gltW,0,-1.40011317793064,0.00608522055700233,5.33546632107262,0.000737042016496418,419,541.75,123.25,194.5,93.873,54.818,19.269,26.572
gltU,0,-1.40011317793064,0.00608522055700233,5.33546632107262,0.000737042016496418,419,541.75,123.25,194.5,93.873,54.818,19.269,26.572
gltT,0,-1.40011317793064,0.00608522055700233,5.33546632107262,0.000737042016496418,419,541.75,123.25,194.5,93.873,54.818,19.269,26.572
gltV,0,-1.40011317793064,0.00608522055700233,5.33546632107262,0.000737042016496418,419,541.75,123.25,194.5,93.873,54.818,19.269,26.572
ygaC,0,-1.22935030687376,0.00624045343912104,4.18529223416685,0.000774042637460138,166,245,65,84,37.191,24.791,10.162,11.476
evgA,0,-1.08518066533719,0.00631049045829177,7.21157641429617,0.000785591669297547,1267,1865,717,587,283.858,188.713,112.097,80.195
ydjX,0,-1.49286861499857,0.00667275349984059,2.70228070342405,0.000842794489662405,58,106,19,30,12.994,10.726,2.970,4.099
csgE,0,-1.5306568301972,0.00691244412687,3.99469695925044,0.000877770682777143,103,347,45,81,23.076,35.112,7.035,11.066
cnu,0,-1.63452048126687,0.00693748761037504,3.30868804383217,0.000886977663947536,111,146,32,37,24.868,14.773,5.003,5.055
nudI,0,-1.2844979740203,0.00705129910388427,3.02667001409233,0.000914590269256645,55,144,29,38,12.322,14.571,4.534,5.191
yibX,0,5.69392305471853,0.007770780364799,-0.9798780924832,0.00105253147064348,0.00958358,0,32.7313,15.6193,0.002,0.000,5.117,2.134
malF,0,1.00225281216448,0.007770780364799,4.27318399765547,0.00104687986512151,70,136,140,213,15.683,13.761,21.888,29.100
narU,0,-1.22448037757642,0.00781493653963217,5.22650569891666,0.00106148457760537,347,489,173,137,77.742,49.480,27.047,18.717
yjcH,0,1.07853248907911,0.00797594964081122,3.5973888627191,0.00109547089479709,46,78,94,128,10.306,7.893,14.696,17.487
insO,0,-1.15375225718827,0.00797962485132556,3.90166813975273,0.00110013875501268,92.5752,260.171,70.4224,59.3875,20.740,26.326,11.010,8.113
ycaN,0,-1.76135705774043,0.00822215284039827,1.86685254749639,0.00113916902165155,36,64,11,13,8.065,6.476,1.720,1.776
yjeT,0,1.0140488250814,0.00828258769662463,4.07689743952281,0.00114942033340913,69,107,131,170,15.459,10.827,20.481,23.225
ydfJ,0,-1.11281600125371,0.0090103568302855,3.04637570126418,0.0013004014351195,58,127,33,38,12.994,12.851,5.159,5.191
ygeV,0,-1.11794677981275,0.0090103568302855,3.332954803801,0.00130149598659679,80,142,37,49,17.923,14.369,5.785,6.694
ymjE,0,1.25314251351528,0.00913180129808505,3.64007844762134,0.0013480278106697,29,103,134,121,6.497,10.422,20.950,16.531
yaiO,0,-1.37773512112231,0.00913274183004506,2.42348079009997,0.00135248796353894,39,94,19,23,8.738,9.512,2.970,3.142
ybjG,0,-1.01122646138175,0.00940878412902547,4.7784634289861,0.0014059838415029,227,346,126,117,50.857,35.011,19.699,15.984
ileV,0,-1.31380014387303,0.00965990080519596,4.96538034741718,0.00147636579199594,309.667,414.667,92,164.667,69.378,41.959,14.383,22.497
ileU,0,-1.31380014387303,0.00965990080519596,4.96538034741718,0.00147636579199594,309.667,414.667,92,164.667,69.378,41.959,14.383,22.497
ileT,0,-1.31380014387303,0.00965990080519596,4.96538034741718,0.00147636579199594,309.667,414.667,92,164.667,69.378,41.959,14.383,22.497